Date,Open,High,Low,Close,Volume
2012-01-03,28.94,29.5,27.65,28.08,928052
2012-01-04,28.21,28.67,27.5,27.71,630036
2012-01-05,27.76,27.93,26.85,27.12,1005432
2012-01-06,27.2,27.79,26.41,26.89,687081
2012-01-09,27.0,27.49,26.12,27.25,896951
2012-01-10,27.44,27.76,27.25,27.62,671732
2012-01-11,27.62,28.38,27.3,28.23,672239
2012-01-12,28.48,28.62,27.8,28.25,729300
2012-01-13,28.4,28.5,22.64,22.79,5506439
2012-01-17,26.62,27.34,26.41,26.6,4652386
2012-01-18,26.69,26.88,26.25,26.81,1260183
2012-01-19,27.19,27.74,26.61,26.76,1246222
2012-01-20,26.9,27.0,26.4,26.6,662289
2012-01-23,26.81,27.21,26.6,26.77,594533
2012-01-24,26.63,27.68,26.44,27.42,857914
2012-01-25,27.27,28.01,27.05,27.97,611112
2012-01-26,28.07,29.58,28.0,28.94,1271028
2012-01-27,28.5,29.72,28.5,29.33,748361
2012-01-30,29.49,29.61,28.53,29.57,728979
2012-01-31,29.9,30.0,28.87,29.07,956713
2012-02-01,29.07,29.7,29.0,29.58,523169
2012-02-02,29.72,30.88,29.6,30.25,805610
2012-02-03,30.41,31.33,30.25,31.15,764418
2012-02-06,31.1,31.9,31.05,31.8,652161
2012-02-07,31.8,31.8,30.82,31.6,1021503
2012-02-08,31.6,32.01,31.29,31.93,623626
2012-02-09,32.0,32.9,31.43,32.58,1277968
2012-02-10,32.26,32.27,29.84,31.1,1874139
2012-02-13,31.55,32.06,30.9,31.49,1157858
2012-02-14,31.74,33.79,31.4,33.17,1811365
2012-02-15,33.1,34.41,32.27,33.6,2764476
2012-02-16,33.5,34.51,32.54,34.18,2219636
2012-02-17,33.99,34.97,33.5,34.97,1376645
2012-02-21,34.87,34.87,33.81,34.5,1135788
2012-02-22,34.5,34.72,32.5,34.22,1654985
2012-02-23,33.99,34.97,33.56,34.53,820345
2012-02-24,34.23,34.52,33.27,33.75,959866
2012-02-27,33.41,34.0,33.0,33.62,605953
2012-02-28,33.64,34.44,33.17,33.81,612183
2012-02-29,33.81,34.12,33.14,33.41,535684
2012-03-01,33.51,34.5,33.3,34.41,703435
2012-03-02,34.4,34.5,33.71,34.04,549971
2012-03-05,34.35,34.4,33.46,33.77,466938
2012-03-06,33.25,33.28,32.62,33.11,573749
2012-03-07,33.12,33.32,32.91,33.12,364831
2012-03-08,33.11,33.49,33.04,33.07,633267
2012-03-09,33.2,35.31,33.2,34.74,1553423
2012-03-12,34.69,36.29,34.6,36.01,1964520
2012-03-13,36.51,36.59,35.5,36.09,1001643
2012-03-14,36.0,36.0,34.8,35.29,851464
2012-03-15,35.28,35.48,34.78,35.0,571596
2012-03-16,34.9,35.89,34.83,35.32,729236
2012-03-19,35.26,35.32,34.54,34.98,1015586
2012-03-20,34.98,35.2,34.57,34.96,567001
2012-03-21,34.94,35.3,34.6,35.15,607103
2012-03-22,34.97,35.15,34.3,34.4,522353
2012-03-23,34.26,34.63,33.15,34.08,1170567
2012-03-26,35.59,38.09,35.04,37.4,3140891
2012-03-27,37.16,39.95,37.03,37.94,2540053
2012-03-28,37.78,38.44,37.11,37.85,954970
2012-03-29,38.19,38.19,37.03,37.33,796335
2012-03-30,37.52,37.94,36.68,37.24,886312
2012-04-02,37.33,37.97,36.53,36.58,1028504
2012-04-03,36.7,38.47,36.67,38.01,1104150
2012-04-04,35.27,35.49,34.69,35.0,4482816
2012-04-05,35.1,35.44,34.41,34.48,1509478
2012-04-09,34.1,34.29,33.1,33.15,1655805
2012-04-10,33.15,33.85,32.1,32.46,1847669
2012-04-11,33.24,33.29,32.01,33.09,1105447
2012-04-12,33.77,34.48,32.92,33.44,1034154
2012-04-13,33.94,34.04,32.85,33.59,649580
2012-04-16,33.41,33.7,32.09,32.25,1099751
2012-04-17,32.43,33.07,32.04,32.24,1115538
2012-04-18,32.09,32.75,31.53,32.66,823096
2012-04-19,32.75,33.43,32.5,33.16,774878
2012-04-20,33.14,33.73,32.94,33.16,821774
2012-04-23,32.86,32.97,31.71,31.94,890715
2012-04-24,31.82,32.2,31.0,31.82,674467
2012-04-25,32.07,32.99,32.07,32.91,712133
2012-04-26,32.96,33.52,32.91,33.49,427619
2012-04-27,33.6,33.63,32.91,33.34,590205
2012-04-30,33.27,33.36,32.58,33.13,413948
2012-05-01,33.13,34.21,33.13,33.78,658947
2012-05-02,33.5,34.39,33.39,33.94,497251
2012-05-03,33.91,34.0,32.13,32.46,842107
2012-05-04,32.32,32.46,31.4,31.83,1247486
2012-05-07,31.96,32.58,31.61,32.47,1157969
2012-05-08,32.5,32.73,29.37,30.19,3097180
2012-05-09,30.3,30.77,29.76,30.06,1947828
2012-05-10,32.97,34.68,32.4,32.96,5556301
2012-05-11,32.49,33.44,32.16,32.25,1221205
2012-05-14,31.92,32.13,30.05,30.06,1380842
2012-05-15,30.26,30.96,29.22,29.43,1585682
2012-05-16,29.58,30.18,28.88,29.18,1257193
2012-05-17,29.3,29.79,28.24,28.57,1149043
2012-05-18,28.37,28.46,26.83,27.56,1616487
2012-05-21,27.58,29.26,27.12,28.77,1475170
2012-05-22,30.1,31.34,30.0,30.79,2366170
2012-05-23,30.56,31.05,29.5,31.02,1220349
2012-05-24,31.25,31.25,29.69,30.32,1075520
2012-05-25,30.16,30.41,29.2,29.81,757009
2012-05-29,30.01,31.93,30.01,31.69,1649917
2012-05-30,31.08,31.42,30.24,30.41,1307141
2012-05-31,30.07,30.29,28.75,29.5,1118701
2012-06-01,28.53,29.16,27.76,28.15,885710
2012-06-04,28.03,28.41,27.11,27.88,1030834
2012-06-05,27.84,28.39,27.56,27.91,630885
2012-06-06,28.2,29.45,28.14,29.22,910508
2012-06-07,29.81,29.87,28.85,28.93,492015
2012-06-08,28.86,30.19,28.15,30.08,881209
2012-06-11,30.31,31.0,28.96,29.12,635947
2012-06-12,29.23,29.84,28.81,29.66,568994
2012-06-13,29.55,30.64,29.47,29.77,844371
2012-06-14,30.18,30.65,28.62,29.39,872161
2012-06-15,29.39,29.95,28.81,29.91,646737
2012-06-18,29.94,32.33,29.5,31.84,1256796
2012-06-19,32.02,32.66,31.5,32.09,911029
2012-06-20,33.5,34.5,33.21,33.78,3422342
2012-06-21,34.26,34.28,31.84,32.19,1891895
2012-06-22,32.6,33.98,32.46,33.78,3047452
2012-06-25,33.94,34.12,32.75,33.11,1503186
2012-06-26,32.05,32.35,31.39,31.61,2613849
2012-06-27,31.9,32.44,31.57,31.96,1047194
2012-06-28,31.9,32.11,30.62,31.41,914040
2012-06-29,32.8,32.8,31.0,31.29,1125704
2012-07-02,31.35,31.8,30.19,30.4,1315534
2012-07-03,30.6,31.0,30.4,30.66,947128
2012-07-05,30.81,31.67,30.8,31.23,1253866
